document_id,term,frequency
5,prolifera,3
3,proliferacion,1
4,proliferacion,1
5,proliferacion,2
7,proliferacion,3
10,proliferacion,1
4,proliferar,2
5,proliferar,4
3,promedio,2
7,promedio,1
1,propagado,4
6,propagado,1
8,propagado,3
1,propagar,1
6,propagar,1
8,propagar,1
5,prostata,102
5,prostatar,3
4,proteccion,2
4,protector,5
7,protein,13
7,proteinar,2
10,proveedor,4
4,provenir,2
7,provenir,2
1,provocar,4
2,provocar,1
3,provocar,2
1,pulmon,79
7,pulmon,1
8,pulmon,3
4,quemadurar,3
5,querer,2
8,querer,1
5,quier,1
10,quier,1
5,quimicar,1
7,quimicar,1
3,quimioterapiar,1
6,quimioterapiar,1
8,quimioterapiar,1
10,quimioterapiar,3
1,quimioterapio,2
5,quimioterapio,1
4,radiacion,2
10,radiacion,1
1,radioterapia,1
3,radioterapia,2
5,radioterapia,2
6,radioterapia,1
10,radioterapia,2
5,radioterapiir,1
8,radioterapiir,1
1,radioterapio,1
5,radioterapio,1
2,rapidamente,1
3,rapidamente,1
4,rapidamente,1
5,rapidamente,2
10,rapidamente,1
5,rapidez,1
9,rapidez,1
5,rapido,1
7,rapido,1
9,rapido,2
7,raro,1
10,raro,1
4,rayo,1
10,rayo,1
3,raza,1
5,raza,3
1,razon,1
3,razon,1
5,razon,1
3,recaudacion,1
4,recaudacion,1
5,recaudacion,1
9,recaudacion,1
10,recaudacion,1
10,recoger,2
3,recomendar,3
5,recomendar,2
7,recomendar,1
3,recto,13
5,recto,2
10,recubrir,3
7,referir,2
3,regular,2
5,regular,2
7,regular,2
10,regular,2
7,relacion,3
10,relacion,10
1,relacionado,1
7,relacionado,2
8,relacionado,2
10,relacionado,2
7,reporte,2
5,reproductivo,2
5,reproductor,3
10,reproductor,4
1,requerir,1
7,requerir,1
7,residir,2
5,resonancia,1
7,resonancia,2
3,respaldar,1
4,respaldar,1
5,respaldar,1
9,respaldar,1
10,respaldar,1
5,respecto,2
1,respiracion,1
8,respiracion,1
1,respirar,2
3,resultado,1
5,resultado,1
6,resultado,1
7,resultado,3
7,resultar,2
10,resultar,1
4,revisatir,2
1,rinon,2
4,ritmo,1
5,ritmo,1
9,ritmo,1
1,rojo,1
3,rojo,1
5,rojo,1
6,rojo,1
9,rojo,3
1,ronquera,4
4,ropa,4
1,rosenberg,2
1,rosenbergs,2
1,rostro,1
4,rostro,3
6,rutin,1
10,rutin,2
6,saciedad_temprana,7
1,saltar,1
6,saltar,1
8,saltar,1
3,saludable,4
5,saludable,9
1,sangrado,8
3,sangrado,3
5,sangrado,5
6,sangrado,2
7,sangrado,1
8,sangrado,4
9,sangrado,18
10,sangrado,5
4,sangrado_piel,5
3,sangrado_rectal,8
10,sangrado_vaginal,8
1,sangre_esputo,6
3,sangre_heces,8
6,sangre_heces,5
5,sangre_orina,7
9,sanguinear,8
1,sanguineo,1
7,sanguineo,1
8,sanguineo,4
1,sclc,2
1,secrecion,1
2,secrecion,1
7,secrecion,1
2,secrecion_pezon,7
1,sed,1
8,sed,1
1,seguir,1
3,seguir,1
4,seguir,2
5,seguir,1
10,seguir,2
1,segun,2
6,segun,1
8,segun,1
9,segun,3
10,segun,1
1,segundo,1
5,segundo,1
7,segundo,1
8,segundo,1
9,segundo,1
3,seguro,1
10,seguro,1
5,semar,6
3,sensacion,1
6,sensacion,2
2,sensibilidad,1
9,sensibilidad,1
9,sentar,1
10,sentar,1
8,sentir,1
10,sentir,2
5,sero,1
10,sero,1
7,sexual,1
10,sexual,21
1,siadh,3
4,siempre,1
5,siempre,1
8,siempre,1
10,siempre,1
1,siglo,2
5,siglo,1
8,siglo,2
10,siglo,1
4,significar,2
5,significar,1
7,significar,2
3,similar,1
5,similar,1
7,similar,1
1,sindromar,4
