term_id,name
489,miccion_frecuente
490,microcitico
491,mielogen
492,mientras
493,minucioso
494,minuto
495,mirar
496,mision
497,mismo
498,molecula
499,momento
500,moretones
501,morir
502,motivo
503,muerte
504,muertir
505,mujer
506,multiplicar
507,multipliquen
508,mundo
509,muscular
510,musculo
511,mutacion
512,mutar
513,natural
514,nausea
515,navigation
516,necesario
517,necesidad
518,negro
519,nervio
520,nervioso
521,neurologico
522,ningun
523,ninguno
524,nino
525,noche
526,non
527,normal
528,normalidad
529,normalmente
530,norte
531,nota
532,notch
533,novedad
534,numero
535,nunca
536,nutrient
537,obesidad
538,objetivo
539,observar
540,obstante
541,ocasion
542,occidental
543,ocultar
544,ojo
545,olor
546,oncology
547,onda
548,oportunidad
549,oreja
550,org
551,organismo
552,organo
553,origen
554,originar
555,orina
556,orina_oscura
557,oscuro
558,oseir
559,ovario
560,padecer
561,padre
562,pai
563,palabra
564,paliativo
565,palidez
566,palpar
567,pancoast
568,pancreas
569,papanicolaou
570,papel
571,paraneoplasico
572,parecer
573,pareja
574,pariente
575,participar
576,partir
577,pasar
578,paso
579,patologico
580,patologo
581,patrocinio
582,pdf
583,pdq
584,peca
585,pecar
586,pecho
587,pedir
588,pelvico
589,pequenar
590,perder
591,perdida_apetito
592,perdida_peso
593,periodo
594,persistente
595,personal
596,pertinente
597,pezon
598,pezon_invertido
599,philadelphia
600,picazon
601,piel
602,pierna
603,plano
604,planta
605,plaqueta
606,poblacion
607,podriar
608,podrio
609,polipo
610,politico
611,poner
612,porcentaje
613,posibilidad
614,positivo
615,potente
616,practicar
617,prb
618,preguntar
619,presencia
620,presion
621,presionar
622,prevencion
623,prevenir
624,principalmente
625,principio
626,principl
627,privacion
628,probabilidad
629,probable
630,problema
631,procedimiento
632,procesado
633,produccion
634,producido
635,profundo
636,prolifera
637,proliferacion
638,proliferar
639,promedio
640,propagado
641,propagar
642,prostata
643,prostatar
644,proteccion
645,protector
646,protein
647,proteinar
648,proveedor
649,provenir
650,provocar
651,pulmon
652,quemadurar
653,querer
654,quier
655,quimicar
656,quimioterapiar
657,quimioterapio
658,radiacion
659,radioterapia
660,radioterapiir
661,radioterapio
662,rapidamente
663,rapidez
664,rapido
665,raro
666,rayo
667,raza
668,razon
669,recaudacion
670,recoger
671,recomendar
672,recto
673,recubrir
674,referir
675,regular
676,relacion
677,relacionado
678,reporte
679,reproductivo
680,reproductor
681,requerir
682,residir
683,resonancia
684,respaldar
685,respecto
686,respiracion
687,respirar
688,resultado
689,resultar
690,revisatir
691,rinon
692,ritmo
693,rojo
694,ronquera
695,ropa
696,rosenberg
697,rosenbergs
698,rostro
699,rutin
700,saciedad_temprana
701,saltar
702,saludable
703,sangrado
704,sangrado_piel
705,sangrado_rectal
706,sangrado_vaginal
707,sangre_esputo
708,sangre_heces
709,sangre_orina
710,sanguinear
711,sanguineo
712,sclc
713,secrecion
714,secrecion_pezon
715,sed
716,seguir
717,segun
718,segundo
719,seguro
720,semar
721,sensacion
722,sensibilidad
723,sentar
724,sentir
725,sero
726,sexual
727,siadh
728,siempre
729,siglo
730,significar
731,similar
732,sindromar
733,sindrome
