term,doc_1,doc_2,doc_3,doc_4,doc_5,doc_6,doc_7,doc_8,doc_9,doc_10
cirrosis,0,0,0,0,0,0,5,0,0,0
cirugia,0,0,1,0,2,1,1,0,0,1
cirugio,2,0,0,0,0,0,0,1,0,0
cita,0,0,1,1,0,0,0,0,1,0
claro,0,1,1,2,2,0,1,2,0,2
clasificacion,0,0,0,0,1,0,0,0,2,0
clave,1,0,0,0,0,1,1,1,0,0
coagulo,0,0,0,0,0,0,0,6,0,0
cola,0,0,0,0,1,0,0,2,0,0
colangiocarcinoma,0,0,0,0,0,0,3,0,0,0
coledoco,0,0,0,0,0,0,0,3,0,0
colesterol,0,0,0,0,0,0,4,0,0,0
colon,0,0,73,0,0,0,0,0,0,0
color,2,0,0,6,1,1,1,6,0,0
coloracion,1,0,0,0,0,1,0,2,0,0
colorrectal,0,0,2,0,0,0,0,0,0,0
colposcopia,0,0,0,0,0,0,0,0,0,2
columna,0,0,0,0,0,0,0,0,0,2
comar,0,0,2,0,1,0,0,0,0,0
combinar,0,0,1,0,0,0,0,0,0,1
comer,0,0,1,0,1,1,1,1,0,0
comienzo,2,0,0,0,0,0,1,1,0,0
compania,0,0,1,1,1,0,0,0,1,1
comparacion,0,0,0,0,1,0,1,0,0,0
completamente,0,0,0,0,0,0,2,0,0,0
complicacion,0,0,0,0,2,0,0,0,0,0
comprender,0,0,0,0,0,0,0,0,1,1
compuesto,1,0,0,0,0,0,1,0,0,0
conducto,0,0,0,0,1,0,3,5,0,1
confusion,2,0,0,0,0,0,0,0,0,0
conocer,1,0,0,1,3,0,1,0,0,0
conocido,0,0,0,0,2,0,2,0,0,1
consanguineo,0,0,1,1,1,0,0,0,0,0
consecuencia,0,0,0,0,0,2,0,0,0,0
conseguir,0,0,0,0,2,0,0,0,0,0
considerar,0,0,2,0,2,0,0,0,0,0
contar,0,1,0,0,1,0,0,0,1,1
contraer,0,0,0,1,0,0,0,0,0,4
contribuir,0,0,0,0,0,0,1,0,0,1
controlar,1,0,0,1,2,0,3,0,0,0
convertir,0,0,0,0,1,0,1,0,0,1
