term,doc_1,doc_2,doc_3,doc_4,doc_5,doc_6,doc_7,doc_8,doc_9,doc_10
oscuro,1,0,0,1,0,1,0,3,0,0
oseir,0,0,0,0,2,0,0,0,2,0
ovario,0,0,0,0,1,0,0,0,0,1
padecer,0,0,1,0,0,0,0,0,1,2
padre,0,0,0,1,2,0,1,0,0,0
pai,0,0,0,0,0,1,2,0,0,0
palabra,0,0,0,0,0,0,2,0,0,0
paliativo,2,0,0,0,0,0,0,0,0,0
palidez,0,0,0,0,0,0,0,0,5,0
palpar,0,1,0,0,0,0,0,1,0,0
pancoast,3,0,0,0,0,0,0,0,0,0
pancreas,0,0,0,0,0,0,1,85,0,0
papanicolaou,0,0,0,0,0,0,0,0,0,11
papel,0,0,0,0,1,0,1,0,0,1
paraneoplasico,10,0,0,0,0,0,0,0,0,0
parecer,0,0,0,3,0,0,1,0,1,0
pareja,0,0,0,0,0,0,0,0,0,4
pariente,0,0,1,1,2,0,0,0,0,0
participar,0,0,0,0,1,0,0,0,0,1
partir,0,0,0,0,2,0,0,0,0,1
pasar,1,0,0,0,0,0,0,2,2,0
paso,0,0,0,0,1,0,0,0,0,1
patologico,0,0,0,0,0,0,4,0,0,0
patologo,0,0,0,0,0,0,2,0,0,0
patrocinio,0,0,1,1,1,0,0,0,1,1
pdf,1,0,0,0,0,1,0,1,0,0
pdq,2,0,0,0,0,0,0,0,0,0
peca,0,0,0,3,0,0,0,0,0,0
pecar,0,0,0,0,2,1,0,0,0,0
pecho,3,0,0,1,0,0,0,1,0,0
pedir,0,0,0,1,0,0,0,0,2,2
pelvico,0,0,0,0,0,0,0,0,0,3
pequenar,1,0,0,0,1,0,0,0,0,0
perder,0,0,2,0,0,0,0,1,0,0
perdida_apetito,0,0,0,0,0,6,0,6,0,0
perdida_peso,7,0,10,0,8,7,6,9,1,0
periodo,0,0,0,0,0,0,2,0,0,2
persistente,0,0,1,0,0,0,0,0,2,0
personal,1,0,1,0,0,0,0,0,0,1
pertinente,0,0,0,0,1,0,0,0,0,1
pezon,0,6,0,0,0,0,0,0,0,0
pezon_invertido,0,6,0,0,0,0,0,0,0,0
philadelphia,3,0,0,0,0,0,0,0,0,0
picazon,0,0,0,5,0,0,0,1,0,0
piel,2,3,2,97,2,1,1,5,1,2
pierna,1,0,0,3,1,0,0,2,0,0
plano,0,0,0,0,0,0,0,0,0,2
planta,0,0,0,1,0,0,1,0,0,0
plaqueta,0,0,0,0,0,0,0,0,2,0
poblacion,0,0,0,0,0,0,2,0,0,1
podriar,0,0,0,0,2,1,0,0,0,1
podrio,1,0,1,0,4,0,0,1,0,5
polipo,0,0,9,0,0,0,0,0,0,0
politico,1,0,1,1,1,0,0,0,1,1
poner,1,0,0,0,0,0,0,2,0,0
porcentaje,0,0,0,0,0,0,2,0,0,1
posibilidad,0,0,1,0,2,0,0,0,0,1
positivo,0,0,0,0,0,0,2,0,0,0
potente,0,0,0,0,1,0,0,0,0,1
practicar,2,0,0,0,0,0,0,0,0,0
prb,0,0,0,0,0,0,3,0,0,0
preguntar,1,0,1,0,0,1,0,1,0,2
presencia,0,0,0,0,2,0,1,0,0,0
presion,2,0,0,0,0,0,0,0,0,0
presionar,0,1,0,0,0,0,0,4,0,0
prevencion,2,0,2,1,1,1,0,1,0,2
prevenir,1,0,2,1,2,1,0,1,0,4
principalmente,0,0,0,0,0,0,0,0,2,0
principio,0,0,1,0,1,0,0,0,1,0
principl,2,0,0,0,0,0,0,0,0,0
privacion,0,0,0,0,2,0,0,0,0,0
probabilidad,2,1,0,3,4,0,0,0,0,2
probable,2,0,1,2,0,0,1,0,0,1
problema,7,0,0,0,0,0,0,0,0,2
procedimiento,2,0,0,0,0,0,2,0,0,1
procesado,0,0,1,0,0,0,1,0,0,0
produccion,0,0,0,0,0,0,7,0,1,0
producido,0,0,0,0,0,0,4,1,0,0
profundo,1,0,0,0,0,0,0,1,0,2
prolifera,0,0,0,0,3,0,0,0,0,0
proliferacion,0,0,1,1,2,0,3,0,0,1
proliferar,0,0,0,2,4,0,0,0,0,0
promedio,0,0,2,0,0,0,1,0,0,0
propagado,4,0,0,0,0,1,0,3,0,0
propagar,1,0,0,0,0,1,0,1,0,0
prostata,0,0,0,0,102,0,0,0,0,0
prostatar,0,0,0,0,3,0,0,0,0,0
proteccion,0,0,0,2,0,0,0,0,0,0
protector,0,0,0,5,0,0,0,0,0,0
protein,0,0,0,0,0,0,13,0,0,0
proteinar,0,0,0,0,0,0,2,0,0,0
proveedor,0,0,0,0,0,0,0,0,0,4
provenir,0,0,0,2,0,0,2,0,0,0
provocar,4,1,2,0,0,0,0,0,0,0
pulmon,79,0,0,0,0,0,1,3,0,0
quemadurar,0,0,0,3,0,0,0,0,0,0
querer,0,0,0,0,2,0,0,1,0,0
quier,0,0,0,0,1,0,0,0,0,1
quimicar,0,0,0,0,1,0,1,0,0,0
quimioterapiar,0,0,1,0,0,1,0,1,0,3
quimioterapio,2,0,0,0,1,0,0,0,0,0
radiacion,0,0,0,2,0,0,0,0,0,1
radioterapia,1,0,2,0,2,1,0,0,0,2
radioterapiir,0,0,0,0,1,0,0,1,0,0
radioterapio,1,0,0,0,1,0,0,0,0,0
rapidamente,0,1,1,1,2,0,0,0,0,1
rapidez,0,0,0,0,1,0,0,0,1,0
rapido,0,0,0,0,1,0,1,0,2,0
raro,0,0,0,0,0,0,1,0,0,1
rayo,0,0,0,1,0,0,0,0,0,1
raza,0,0,1,0,3,0,0,0,0,0
razon,1,0,1,0,1,0,0,0,0,0
recaudacion,0,0,1,1,1,0,0,0,1,1
recoger,0,0,0,0,0,0,0,0,0,2
recomendar,0,0,3,0,2,0,1,0,0,0
recto,0,0,13,0,2,0,0,0,0,0
recubrir,0,0,0,0,0,0,0,0,0,3
referir,0,0,0,0,0,0,2,0,0,0
regular,0,0,2,0,2,0,2,0,0,2
relacion,0,0,0,0,0,0,3,0,0,10
relacionado,1,0,0,0,0,0,2,2,0,2
reporte,0,0,0,0,0,0,2,0,0,0
reproductivo,0,0,0,0,2,0,0,0,0,0
reproductor,0,0,0,0,3,0,0,0,0,4
requerir,1,0,0,0,0,0,1,0,0,0
residir,0,0,0,0,0,0,2,0,0,0
resonancia,0,0,0,0,1,0,2,0,0,0
respaldar,0,0,1,1,1,0,0,0,1,1
respecto,0,0,0,0,2,0,0,0,0,0
respiracion,1,0,0,0,0,0,0,1,0,0
respirar,2,0,0,0,0,0,0,0,0,0
resultado,0,0,1,0,1,1,3,0,0,0
resultar,0,0,0,0,0,0,2,0,0,1
revisatir,0,0,0,2,0,0,0,0,0,0
rinon,2,0,0,0,0,0,0,0,0,0
ritmo,0,0,0,1,1,0,0,0,1,0
rojo,1,0,1,0,1,1,0,0,3,0
ronquera,4,0,0,0,0,0,0,0,0,0
ropa,0,0,0,4,0,0,0,0,0,0
rosenberg,2,0,0,0,0,0,0,0,0,0
rosenbergs,2,0,0,0,0,0,0,0,0,0
rostro,1,0,0,3,0,0,0,0,0,0
rutin,0,0,0,0,0,1,0,0,0,2
saciedad_temprana,0,0,0,0,0,7,0,0,0,0
saltar,1,0,0,0,0,1,0,1,0,0
saludable,0,0,4,0,9,0,0,0,0,0
sangrado,8,0,3,0,5,2,1,4,18,5
sangrado_piel,0,0,0,5,0,0,0,0,0,0
sangrado_rectal,0,0,8,0,0,0,0,0,0,0
sangrado_vaginal,0,0,0,0,0,0,0,0,0,8
sangre_esputo,6,0,0,0,0,0,0,0,0,0
sangre_heces,0,0,8,0,0,5,0,0,0,0
sangre_orina,0,0,0,0,7,0,0,0,0,0
sanguinear,0,0,0,0,0,0,0,0,8,0
sanguineo,1,0,0,0,0,0,1,4,0,0
sclc,2,0,0,0,0,0,0,0,0,0
secrecion,1,1,0,0,0,0,1,0,0,0
secrecion_pezon,0,7,0,0,0,0,0,0,0,0
sed,1,0,0,0,0,0,0,1,0,0
seguir,1,0,1,2,1,0,0,0,0,2
segun,2,0,0,0,0,1,0,1,3,1
segundo,1,0,0,0,1,0,1,1,1,0
seguro,0,0,1,0,0,0,0,0,0,1
semar,0,0,0,0,6,0,0,0,0,0
sensacion,0,0,1,0,0,2,0,0,0,0
sensibilidad,0,1,0,0,0,0,0,0,1,0
sentar,0,0,0,0,0,0,0,0,1,1
sentir,0,0,0,0,0,0,0,1,0,2
sero,0,0,0,0,1,0,0,0,0,1
sexual,0,0,0,0,0,0,1,0,0,21
siadh,3,0,0,0,0,0,0,0,0,0
siempre,0,0,0,1,1,0,0,1,0,1
siglo,2,0,0,0,1,0,0,2,0,1
significar,0,0,0,2,1,0,2,0,0,0
similar,0,0,1,0,1,0,1,0,0,0
sindromar,4,0,0,0,0,0,0,0,0,0
sindrome,11,0,1,0,0,0,0,0,0,0
sintomatico,0,0,0,0,0,0,2,0,0,0
small,6,0,0,0,0,0,0,0,0,0
sobreviviente,1,0,0,0,0,0,0,1,0,0
sol,0,0,0,36,0,0,0,0,0,0
solicite,0,0,1,1,1,0,0,0,1,0
solo,0,0,0,0,2,1,3,0,0,2
sombra,0,0,0,2,0,0,0,0,0,0
sospechar,0,0,0,0,0,0,1,0,0,1
sudoracion_nocturna,0,0,0,0,0,0,0,0,5,0
suficiente,0,0,1,0,1,0,0,0,0,1
sufrir,0,0,1,1,0,0,1,0,0,0
sugerir,0,0,0,0,0,0,0,0,0,2
superficie,0,0,0,2,0,0,1,0,0,1
superior,8,0,0,1,1,0,0,0,0,0
supervivencio,1,0,0,0,0,1,0,1,0,0
supresor,0,0,0,0,0,0,6,0,0,0
sustancia,1,0,0,0,1,0,2,1,0,0
tabaco,0,0,0,0,1,0,1,0,0,0
tabaquismo,6,0,0,0,0,0,1,0,0,0
tal,2,0,0,0,1,0,3,1,0,0
tamano,0,0,1,2,1,0,1,1,0,0
tasa,1,0,0,0,0,1,6,1,0,0
ten,0,0,0,0,1,0,1,0,0,0
tender,0,1,0,1,0,0,1,0,0,1
terapiar,2,0,1,0,3,1,0,1,0,2
termino,0,0,1,0,0,0,1,0,0,0
testosteronar,0,0,0,0,2,0,1,0,0,0
tienda,0,0,1,1,1,0,0,0,0,0
tipico,0,0,1,0,1,0,0,0,0,0
tomo,0,0,0,0,0,0,0,0,0,2
tos,6,0,0,0,0,0,0,0,0,0
tos_persistente,8,0,0,0,0,0,0,0,0,0
tragar,2,0,0,0,0,0,0,0,0,0
transcripcion,0,0,0,0,1,0,3,0,0,0
transmision,0,0,0,0,0,0,3,0,0,3
trasmitar,0,0,0,0,0,0,0,0,0,2
trastorno,0,0,0,0,0,0,1,0,1,0
tratar,0,0,2,0,5,1,0,0,0,2
trav,0,0,0,0,0,0,3,0,0,1
treatment,2,0,0,0,0,0,0,0,0,0
tumoral,0,0,0,0,0,0,4,0,0,0
ubicacion,0,0,1,0,0,0,1,0,0,0
ubicado,0,0,0,0,0,0,2,0,0,0
ulcero,0,0,2,0,0,1,0,0,0,0
ultravioleta,0,0,0,5,0,0,0,0,0,0
urologo,0,0,0,0,3,0,0,0,0,0
uso,1,0,1,1,0,0,0,0,0,0
usted,1,0,0,0,0,1,0,0,0,0
usualmente,0,0,0,0,0,0,2,0,0,0
utero,0,0,0,0,0,0,0,0,0,65
uv,0,0,0,5,0,0,0,0,0,0
vacuna,0,0,0,0,0,0,1,0,0,5
vaginal,0,0,0,0,0,0,0,0,0,6
vaginar,0,0,0,0,0,0,0,0,0,3
variar,0,1,0,0,1,0,1,0,1,0
variedad,0,0,3,1,2,0,1,0,0,0
vejigar,0,0,0,0,3,0,0,0,0,0
velocidad,0,0,0,0,2,0,0,0,2,0
vena,7,0,0,0,0,0,0,1,0,0
verdura,0,0,3,0,2,0,0,0,0,0
version,1,0,2,2,2,0,0,0,2,1
vesicular,0,0,0,0,0,0,2,2,0,0
vesiculo,0,0,0,0,0,0,1,1,0,0
vhb,0,0,0,0,0,0,7,0,0,0
vhc,0,0,0,0,0,0,3,0,0,0
via,0,0,0,0,0,0,3,3,0,0
video,1,0,0,0,3,0,0,0,0,1
vih,0,0,0,1,0,0,0,0,0,1
virion,0,0,0,0,0,0,2,0,0,0
virus,0,0,0,0,0,0,18,0,0,20
virus_papiloma,0,0,0,0,0,0,1,0,0,21
visitar,0,0,0,0,1,0,0,0,0,1
visto,1,0,0,0,1,0,1,0,0,0
vitamina,0,0,2,0,1,0,0,0,0,0
viviriar,0,0,0,1,1,0,0,0,0,0
vomito,2,0,0,0,0,6,0,3,0,0
vph,0,0,0,0,0,0,0,0,0,19
zona,2,1,1,3,0,0,0,0,0,0
